id_socle_txt,id,type d'objet,famille,type,calque,attributs altitude,attribut matricule,calque_alt,calque_mat,attributs insert,placement,charte,commentaires,sig,pcrs,CategorieThematiquePCRSType,NatureReseauPCRSType,NatureAffleurantPCRSType,reference,CategorieMurPCRSType,SectionPilierPCRSType,longueur_block,date_modif,date_crea,id_nature,image
1,AP_0000,Coffret,Eau potable,Bloc,EAUPO_SCS,,,nc,nc,,Surface,Standard topographique régional,,pct,AffleurantSymbolePCRS,10,AEP,2,AP_0000,nc,nc,,,19/10/22,AP_0000 - Coffret,https:/raw.githubusercontent.com/geobretagne/standard-topographique/main/nomenclature/img/A_Eau_potable/AP_0000.jpg
2,AP_0001,Bouche à clé,Eau potable,Bloc,EAUPO_SCS,,,nc,nc,,Surface,Standard topographique régional,,pct,AffleurantSymbolePCRS,10,AEP,4,AP_0001,nc,nc,,,19/10/22,AP_0001 - Bouche à clé,https://raw.githubusercontent.com/geobretagne/standard-topographique/refs/heads/develop/nomenclature/img//A_Eau_potable/AP_0001.jpg
3,AP_0002,Citerneau circulaire,Eau potable,Bloc,EAUPO_SCS,,,nc,nc,,Surface,Standard topographique régional,,pct,AffleurantSymbolePCRS,10,AEP,3,AP_0002,nc,nc,,,19/10/22,AP_0002 - Citerneau circulaire,https://raw.githubusercontent.com/geobretagne/standard-topographique/refs/heads/develop/nomenclature/img//A_Eau_potable/AP_0002.jpg
4,AP_0003,Regard carré,Eau potable,Bloc,EAUPO_SCS,,,nc,nc,,Surface,Standard topographique régional,,pct,AffleurantSymbolePCRS,10,AEP,3,AP_0003,nc,nc,,,19/10/22,AP_0003 - Regard carré,https://raw.githubusercontent.com/geobretagne/standard-topographique/refs/heads/develop/nomenclature/img//A_Eau_potable/AP_0003.jpg
5,AP_0004,Bouche d'arrosage,Eau potable,Bloc,EAUPO_SCS,,,nc,nc,,Surface,Standard topographique régional,,pct,AffleurantSymbolePCRS,10,AEP,4,AP_0004,nc,nc,,,19/10/22,AP_0004 - Bouche d'arrosage,https://raw.githubusercontent.com/geobretagne/standard-topographique/refs/heads/develop/nomenclature/img//A_Eau_potable/AP_0004.jpg
6,AP_0005,Poteau incendie,Eau potable,Bloc,EAUPO_SCS,,,nc,nc,,Surface,Standard topographique régional,,pct,AffleurantSymbolePCRS,10,AEP,5,AP_0005,nc,nc,,,19/10/22,AP_0005 - Poteau incendie,https://raw.githubusercontent.com/geobretagne/standard-topographique/refs/heads/develop/nomenclature/img//A_Eau_potable/AP_0005.jpg
7,AP_0006,Bouche incendie,Eau potable,Bloc,EAUPO_SCS,,,nc,nc,,Surface,Standard topographique régional,,pct,AffleurantSymbolePCRS,10,AEP,5,AP_0006,nc,nc,,,19/10/22,AP_0006 - Bouche incendie,https://raw.githubusercontent.com/geobretagne/standard-topographique/refs/heads/develop/nomenclature/img//A_Eau_potable/AP_0006.jpg
8,AP_0007,Massif incendie,Eau potable,Bloc,EAUPO_SCS,,,nc,nc,,Surface,Standard topographique régional,,pct,AffleurantSymbolePCRS,10,AEP,5,AP_0007,nc,nc,,,19/10/22,AP_0007 - Massif incendie,https://raw.githubusercontent.com/geobretagne/standard-topographique/refs/heads/develop/nomenclature/img//A_Eau_potable/AP_0007.jpg
9,AP_0008,Bouche incendie rectangulaire,Eau potable,Bloc,EAUPO_SCS,,,nc,nc,,Surface,Standard topographique régional,,pct,AffleurantSymbolePCRS,10,AEP,5,AP_0008,nc,nc,,,19/10/22,AP_0008 - Bouche incendie rectangulaire,https://raw.githubusercontent.com/geobretagne/standard-topographique/refs/heads/develop/nomenclature/img//A_Eau_potable/AP_0008.jpg
10,AP_0009,Chambre de vannes,Eau potable,Bloc,EAUPO_SCS,,,nc,nc,,Surface,Standard topographique régional,,pct,AffleurantSymbolePCRS,10,AEP,3,AP_0009,nc,nc,,,19/10/22,AP_0009 - Chambre de vannes,https://raw.githubusercontent.com/geobretagne/standard-topographique/refs/heads/develop/nomenclature/img//A_Eau_potable/AP_0009.jpg
